,id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id
0,131,2367669,1,,20,,14.0,False,0,False,2023-12-02T15:00:00Z,Gameweek 14,True,2,1
1,146,2367683,12,,1,,15.0,False,0,False,2023-12-05T20:15:00Z,Gameweek 15,False,2,1
2,151,2367688,2,,1,,16.0,False,0,False,2023-12-09T17:30:00Z,Gameweek 16,False,3,1
3,161,2367699,1,,5,,17.0,False,0,False,2023-12-17T14:00:00Z,Gameweek 17,True,3,1
4,174,2367711,11,,1,,18.0,False,0,False,2023-12-23T17:30:00Z,Gameweek 18,False,4,1
5,181,2367719,1,,19,,19.0,False,0,False,2023-12-28T20:15:00Z,Gameweek 19,True,2,1
6,193,2367730,10,,1,,20.0,False,0,False,2023-12-31T14:00:00Z,Gameweek 20,False,2,1
7,201,2367739,1,,8,,21.0,False,0,False,2024-01-20T12:30:00Z,Gameweek 21,True,2,1
8,215,2367752,16,,1,,22.0,False,0,False,2024-01-30T19:45:00Z,Gameweek 22,False,2,1
9,221,2367759,1,,11,,23.0,False,0,False,2024-02-03T15:00:00Z,Gameweek 23,True,4,1
10,239,2367776,19,,1,,24.0,False,0,False,2024-02-10T15:00:00Z,Gameweek 24,False,3,1
11,242,2367779,6,,1,,25.0,False,0,False,2024-02-17T15:00:00Z,Gameweek 25,False,2,1
12,251,2367789,1,,15,,26.0,False,0,False,2024-02-24T15:00:00Z,Gameweek 26,True,4,1
13,269,2367806,17,,1,,27.0,False,0,False,2024-03-02T15:00:00Z,Gameweek 27,False,2,1
14,271,2367809,1,,4,,28.0,False,0,False,2024-03-09T15:00:00Z,Gameweek 28,True,3,1
15,281,2367818,1,,7,,29.0,False,0,False,2024-03-16T15:00:00Z,Gameweek 29,True,3,1
16,296,2367833,13,,1,,30.0,False,0,False,2024-03-30T15:00:00Z,Gameweek 30,False,5,1
17,301,2367839,1,,12,,31.0,False,0,False,2024-04-02T18:45:00Z,Gameweek 31,True,2,1
18,312,2367849,5,,1,,32.0,False,0,False,2024-04-06T14:00:00Z,Gameweek 32,False,3,1
19,321,2367859,1,,2,,33.0,False,0,False,2024-04-13T14:00:00Z,Gameweek 33,True,3,1
20,340,2367877,20,,1,,34.0,False,0,False,2024-04-20T14:00:00Z,Gameweek 34,False,2,1
21,348,2367885,18,,1,,35.0,False,0,False,2024-04-27T14:00:00Z,Gameweek 35,False,3,1
22,351,2367888,1,,3,,36.0,False,0,False,2024-05-04T14:00:00Z,Gameweek 36,True,2,1
23,365,2367902,14,,1,,37.0,False,0,False,2024-05-11T14:00:00Z,Gameweek 37,False,4,1
24,371,2367908,1,,9,,38.0,False,0,False,2024-05-19T15:00:00Z,Gameweek 38,True,2,1
0,131,2367669,1,,20,,14.0,False,0,False,2023-12-02T15:00:00Z,Gameweek 14,True,2,2
1,146,2367683,12,,1,,15.0,False,0,False,2023-12-05T20:15:00Z,Gameweek 15,False,2,2
2,151,2367688,2,,1,,16.0,False,0,False,2023-12-09T17:30:00Z,Gameweek 16,False,3,2
3,161,2367699,1,,5,,17.0,False,0,False,2023-12-17T14:00:00Z,Gameweek 17,True,3,2
4,174,2367711,11,,1,,18.0,False,0,False,2023-12-23T17:30:00Z,Gameweek 18,False,4,2
5,181,2367719,1,,19,,19.0,False,0,False,2023-12-28T20:15:00Z,Gameweek 19,True,2,2
6,193,2367730,10,,1,,20.0,False,0,False,2023-12-31T14:00:00Z,Gameweek 20,False,2,2
7,201,2367739,1,,8,,21.0,False,0,False,2024-01-20T12:30:00Z,Gameweek 21,True,2,2
